Runs,Wkts,Balls,Ave,RPO,Ground,StartDate
1069,40,2278,26.72,2.81,Sydney,21 Feb 1908
890,40,1874,22.25,2.84,Melbourne,7 Feb 1908
1337,40,2750,33.42,2.91,Adelaide,10 Jan 1908
1327,39,2877,34.02,2.76,Melbourne,1 Jan 1908
1148,38,2254,30.21,3.05,Sydney,13 Dec 1907
1178,30,2044,39.26,3.45,The Oval,14 Aug 1905
812,30,1537,27.06,3.16,Manchester,24 Jul 1905
1015,32,2261,31.71,2.69,Leeds,3 Jul 1905
614,25,1441,24.56,2.55,Lord's,15 Jun 1905
1031,33,2166,31.24,2.85,Nottingham,29 May 1905
542,39,1081,13.89,3,Melbourne,5 Mar 1904
761,40,2028,19.02,2.25,Sydney,26 Feb 1904
1262,40,2641,31.55,2.86,Adelaide,15 Jan 1904
651,38,1450,17.13,2.69,Melbourne,1 Jan 1904
1541,35,3245,44.02,2.84,Sydney,11 Dec 1903
891,39,1870,22.84,2.85,The Oval,11 Aug 1902
767,40,1725,19.17,2.66,Manchester,24 Jul 1902
823,40,1564,20.57,3.15,Sheffield,3 Jul 1902
102,2,228,51,2.68,Lord's,12 Jun 1902
458,21,1158,21.8,2.37,Birmingham,29 May 1902
766,40,1651,19.15,2.78,Melbourne,28 Feb 1902
836,33,2172,25.33,2.3,Sydney,14 Feb 1902
1271,35,3168,36.31,2.4,Adelaide,17 Jan 1902
701,40,1704,17.52,2.46,Melbourne,1 Jan 1902
804,30,1895,26.8,2.54,Sydney,13 Dec 1901
1182,25,2187,47.28,3.24,The Oval,14 Aug 1899
1008,30,2159,33.6,2.8,Manchester,17 Jul 1899
635,29,1442,21.89,2.64,Leeds,29 Jun 1899
895,30,1896,29.83,2.83,Lord's,15 Jun 1899
830,35,2181,23.71,2.28,Nottingham,1 Jun 1899
1028,34,2222,30.23,2.77,Sydney,26 Feb 1898
875,32,1901,27.34,2.76,Melbourne,29 Jan 1898
1133,30,2911,37.76,2.33,Adelaide,14 Jan 1898
985,30,2223,32.83,2.65,Melbourne,1 Jan 1898
1292,31,2545,41.67,3.04,Sydney,13 Dec 1897
392,40,1049,9.8,2.24,The Oval,10 Aug 1896
1073,37,2174,29,2.96,Manchester,16 Jul 1896
803,34,1553,23.61,3.1,Lord's,22 Jun 1896
1364,34,2959,40.11,2.76,Melbourne,1 Mar 1895
421,28,911,15.03,2.77,Sydney,1 Feb 1895
916,40,1927,22.9,2.85,Adelaide,11 Jan 1895
1006,40,2607,25.15,2.31,Melbourne,29 Dec 1894
1514,40,3376,37.85,2.69,Sydney,14 Dec 1894
801,34,1979,23.55,2.42,Manchester,24 Aug 1893
923,30,1613,30.76,3.43,The Oval,14 Aug 1893
837,28,1780,29.89,2.82,Lord's,17 Jul 1893
768,30,1704,25.6,2.7,Adelaide,24 Mar 1892
998,39,2968,25.58,2.01,Sydney,29 Jan 1892
898,40,3102,22.45,1.73,Melbourne,1 Jan 1892
389,38,1159,10.23,2.01,The Oval,11 Aug 1890
618,33,2058,18.72,1.8,Lord's,21 Jul 1890
323,30,788,10.76,2.45,Manchester,30 Aug 1888
497,30,1195,16.56,2.49,The Oval,13 Aug 1888
291,40,792,7.27,2.2,Lord's,16 Jul 1888
374,40,1129,9.35,1.98,Sydney,10 Feb 1888
539,40,1658,13.47,1.95,Sydney,25 Feb 1887
445,40,1570,11.12,1.7,Sydney,28 Jan 1887
651,30,1847,21.7,2.11,The Oval,12 Aug 1886
600,30,1812,20,1.98,Lord's,19 Jul 1886
658,36,1964,18.27,2.01,Manchester,5 Jul 1886
674,30,1720,22.46,2.35,Melbourne,21 Mar 1885
693,32,1439,21.65,2.88,Sydney,14 Mar 1885
686,40,2124,17.15,1.93,Sydney,20 Feb 1885
813,30,2427,27.1,2,Melbourne,1 Jan 1885
870,31,2160,28.06,2.41,Adelaide,12 Dec 1884
982,22,2140,44.63,2.75,The Oval,11 Aug 1884
753,29,1536,25.96,2.94,Lord's,21 Jul 1884
457,29,1292,15.75,2.12,Manchester,10 Jul 1884
671,40,1888,16.77,2.13,Sydney,26 Jan 1883
561,30,1405,18.7,2.39,Melbourne,19 Jan 1883
695,31,1716,22.41,2.43,Melbourne,30 Dec 1882
