Team,Score,Overs,RPO,Result,Opposition,Ground,StartDate
AU,220,88,2.5,won,EN,Manchester,6 Jun 1968
EN,253,110,2.3,lost,AU,Manchester,6 Jun 1968
EN,351/7d,144.3,2.42,draw,AU,Lord's,20 Jun 1968
AU,78,33.4,2.31,draw,EN,Lord's,20 Jun 1968
AU,127/4,67,1.89,draw,EN,Lord's,20 Jun 1968
EN,409,172.5,2.36,draw,AU,Birmingham,11 Jul 1968
AU,222,91,2.43,draw,EN,Birmingham,11 Jul 1968
EN,142/3d,42,3.38,draw,AU,Birmingham,11 Jul 1968
AU,68/1,28.2,2.4,draw,EN,Birmingham,11 Jul 1968
AU,315,133.4,2.35,draw,EN,Leeds,25 Jul 1968
EN,302,147,2.05,draw,AU,Leeds,25 Jul 1968
AU,312,154.1,2.02,draw,EN,Leeds,25 Jul 1968
EN,230/4,84,2.73,draw,AU,Leeds,25 Jul 1968
EN,494,201.2,2.45,won,AU,The Oval,22 Aug 1968
AU,324,163.3,1.98,lost,EN,The Oval,22 Aug 1968
EN,181,58.4,3.08,won,AU,The Oval,22 Aug 1968
AU,125,83.3,1.49,lost,EN,The Oval,22 Aug 1968
AU,433,115.3x8,2.81,draw,EN,Brisbane,27 Nov 1970
EN,464,146.5x8,2.37,draw,AU,Brisbane,27 Nov 1970
AU,214,93.5x8,1.71,draw,EN,Brisbane,27 Nov 1970
EN,39/1,15.6x8,1.85,draw,AU,Brisbane,27 Nov 1970
EN,397,133.4x8,2.23,draw,AU,Perth,11 Dec 1970
AU,440,114.5x8,2.87,draw,EN,Perth,11 Dec 1970
EN,287/6d,101.0x8,2.13,draw,AU,Perth,11 Dec 1970
AU,100/3,32.0x8,2.34,draw,EN,Perth,11 Dec 1970
EN,332,94.7x8,2.62,won,AU,Sydney,9 Jan 1971
AU,236,76.6x8,2.3,lost,EN,Sydney,9 Jan 1971
EN,319/5d,94.0x8,2.54,won,AU,Sydney,9 Jan 1971
AU,116,56.5x8,1.53,lost,EN,Sydney,9 Jan 1971
AU,493/9d,128.0x8,2.88,draw,EN,Melbourne,21 Jan 1971
EN,392,137.5x8,2.13,draw,AU,Melbourne,21 Jan 1971
AU,169/4d,46.0x8,2.75,draw,EN,Melbourne,21 Jan 1971
EN,161/0,58.0x8,2.08,draw,AU,Melbourne,21 Jan 1971
EN,470,136.2x8,2.58,draw,AU,Adelaide,29 Jan 1971
AU,235,76.1x8,2.31,draw,EN,Adelaide,29 Jan 1971
EN,233/4d,51.0x8,3.42,draw,AU,Adelaide,29 Jan 1971
AU,328/3,115.0x8,2.13,draw,EN,Adelaide,29 Jan 1971
EN,184,76.0x8,1.81,won,AU,Sydney,12 Feb 1971
AU,264,83.6x8,2.36,lost,EN,Sydney,12 Feb 1971
EN,302,100.7x8,2.24,won,AU,Sydney,12 Feb 1971
AU,160,62.6x8,1.91,lost,EN,Sydney,12 Feb 1971
EN,249,120.4,2.06,won,AU,Manchester,8 Jun 1972
AU,142,58,2.44,lost,EN,Manchester,8 Jun 1972
EN,234,86.2,2.71,won,AU,Manchester,8 Jun 1972
AU,252,85.2,2.95,lost,EN,Manchester,8 Jun 1972
EN,272,91.5,2.96,lost,AU,Lord's,22 Jun 1972
AU,308,122.1,2.52,won,EN,Lord's,22 Jun 1972
EN,116,55.2,2.09,lost,AU,Lord's,22 Jun 1972
AU,81/2,26.5,3.01,won,EN,Lord's,22 Jun 1972
AU,315,118.4,2.65,draw,EN,Nottingham,13 Jul 1972
EN,189,88.3,2.13,draw,AU,Nottingham,13 Jul 1972
AU,324/4d,92,3.52,draw,EN,Nottingham,13 Jul 1972
EN,290/4,148,1.95,draw,AU,Nottingham,13 Jul 1972
AU,146,86.5,1.68,lost,EN,Leeds,27 Jul 1972
EN,263,130.1,2.02,won,AU,Leeds,27 Jul 1972
AU,136,56.1,2.42,lost,EN,Leeds,27 Jul 1972
EN,21/1,10,2.1,won,AU,Leeds,27 Jul 1972
EN,284,92.2,3.07,lost,AU,The Oval,10 Aug 1972
AU,399,151.5,2.62,won,EN,The Oval,10 Aug 1972
EN,356,121.2,2.93,lost,AU,The Oval,10 Aug 1972
AU,242/5,92.2,2.62,won,EN,The Oval,10 Aug 1972
AU,309,92.5x8,2.5,won,EN,Brisbane,29 Nov 1974
EN,265,80.5x8,2.46,lost,AU,Brisbane,29 Nov 1974
AU,288/5d,85.0x8,2.54,won,EN,Brisbane,29 Nov 1974
EN,166,56.5x8,2.19,lost,AU,Brisbane,29 Nov 1974
EN,208,65.3x8,2.38,lost,AU,Perth,13 Dec 1974
AU,481,108.6x8,3.31,won,EN,Perth,13 Dec 1974
EN,293,91.1x8,2.41,lost,AU,Perth,13 Dec 1974
AU,23/1,3.7x8,4.45,won,EN,Perth,13 Dec 1974
EN,242,88.4x8,2.05,draw,AU,Melbourne,26 Dec 1974
AU,241,92.5x8,1.95,draw,EN,Melbourne,26 Dec 1974
EN,244,69.0x8,2.65,draw,AU,Melbourne,26 Dec 1974
AU,238/8,80.0x8,2.23,draw,EN,Melbourne,26 Dec 1974
AU,405,98.7x8,3.07,won,EN,Sydney,4 Jan 1975
EN,295,73.1x8,3.02,lost,AU,Sydney,4 Jan 1975
AU,289/4d,64.3x8,3.36,won,EN,Sydney,4 Jan 1975
EN,228,79.5x8,2.14,lost,AU,Sydney,4 Jan 1975
AU,304,68.2x8,3.34,won,EN,Adelaide,25 Jan 1975
EN,172,46.5x8,2.76,lost,AU,Adelaide,25 Jan 1975
AU,272/5d,66.0x8,3.09,won,EN,Adelaide,25 Jan 1975
EN,241,75.0x8,2.41,lost,AU,Adelaide,25 Jan 1975
AU,152,36.7x8,3.09,lost,EN,Melbourne,8 Feb 1975
EN,529,151.2x8,2.62,won,AU,Melbourne,8 Feb 1975
AU,373,106.7x8,2.61,lost,EN,Melbourne,8 Feb 1975
AU,359,121,2.96,won,EN,Birmingham,10 Jul 1975
EN,101,45.3,2.21,lost,AU,Birmingham,10 Jul 1975
EN,173,75.2,2.29,lost,AU,Birmingham,10 Jul 1975
EN,315,87.4,3.59,draw,AU,Lord's,31 Jul 1975
AU,268,77.4,3.45,draw,EN,Lord's,31 Jul 1975
EN,436/7d,147.4,2.95,draw,AU,Lord's,31 Jul 1975
